,filename,review_text,Sentiment,SV,cluster_label
15,15,                                  A tentacular dystopian vision of the depths those deserted of luck will descend to in order to recover their losses   Combines schadenfreude shades aplenty alongside some outstanding performances while asking some questions you might not want to find an answer to                                                                                                                     ,1,75.0,6
27,27,"                                                                                                 I mean, Id say I liked The Hunger Games better - but not The Maze Runner                                                                                                                               Theres a real grimness to The Squid Games                                                                                                                                                        Like The Platform                                                                         With every episode youre ground down deeper just like these poor saps who find themselves there                                                                               I liked it well enough though it was long and the characters pretty familiar to this genre   It does makes many apt comments about contemporary society - Alis story is particularly sad as is Sae- Byeoks and the way we treat people just seeking a better life                          I cant say I get the uproar of the series - Netflixs potential biggest- but its worth a watch if you like dystopian stuff - and who doesnt?                                                                                                                                         ",1,60.86956521739131,6
102,102,"                                                                                                                                                                                               I am an ardent follower of the Korean movies                                                                Even though most of the movies are laden with violence, gore and bloodbath, the chills and thrills of most of the movies I have watched till date have not disappointed me                                                                                     But I was a bit apprehensive of watching a Korean web-series even though it is insanely popular and one of the most trending shows in the recent past                                                                                                                                      The very name Squid Game , the latest offering from Netflix did not appear to be very much appealing                                                                                                                                                                         However, I risked my time on the rave reviews the show is getting                                                                                                                                                                                                                 And boy! It has paid back                                                                                                                                                                           I cannot recall any single show more edge of the seat than this                                                                                                                                                                    Yes, there may be better shows in terms of intrinsic production values                                                                                                    But if you ask me to select one show where even for one second, I could not hold my breath, it was this, it was this, nothing but this                                                                                                                                                                  Normally my hectic work schedule does not allow me to binge-watch a show                                                                                                                                                                                    But Squid Game eventually turned me to a Binge-watcher                                                                                                                                                                                 It is so much enjoyable, spine chilling and mind bending                                                                                  It is believed that even if ghosts exist, the human beings are capable of making this world even a more ghostly place than the original ghosts would do   Basically, greed, lust, lack of control, survival instinct, desire for power and authority, insanity make people do macabre things and when people get the taste of blood, they become even more dangerous than the man-eating animals                                                                                                                                                                      Squid Game captivates human emotions to an extent you are awestruck                                                                     The level where people can stoop to, to make things shinier for his own life will make you sick as you watch episodes after episodes of this brilliantly made series            The raw violence and gore trademarks of the Korean style of moviemaking is present throughout and this makes the show unsuitable for the children even though the central theme is based on the games played during childhood                                                                        In the age of Super Computers, when people have stopped playing those forgotten games any longer, a group of losers are seduced to play six rounds of those games                                                                                                                                           Winning will guarantee them freedom from every debt as the rewards of winning are astronomical                                                                                                                                   But the punishment for losing is what makes the series so very horrific, gruesome and rewarding- death                                                                                                                       How the real-life losers vie with each other to redeem their own lost hopes is the plot of this super paced series                                                                                                                                                                                                            The show is full of metaphors                                                                                     It may be worth mentioning that of late numerous movies have also come up with the portrayal of the absence of an egalitarian society in South Korea                                                                                                                                                                            The rich are becoming richer and the poor are becoming poorer                                                                         Remember Parasite and the subtle show of class struggle therein? Squid Game also tends to point fingers to the inequality prevailing in the South Korean society                                                                                                                                                                Few references to the illegal immigration from North Korea are there, too                                                                                                                                                                 Squid Game in may ways is similar to one movie I watched long back- Exam                                                                                                                                                                 There also the creator worked on the same concept and I liked that movie                                                                                                                                                         But in Squid Game, the dividends are more rewarding, scintillating and thrilling                                                                                                                             I simply cannot recall a single dull moment in the entire show with a runtime of around eight and half hours                                                                                                                                                         The lead actors especially Lee Jung-jae, Park Hae Soo, Jung Ho-yeon are stunning                                                                                                                                                                                The old man (I could not google his name) was fascinating                                                                                                                                                                                              The script is tight, gripping and addictive                                                                                                                                                                The cinematography is insanely horrific just what the screenplay demanded                                                                                                                                                                                            The music matches with the spirit of the show                                                                                                                                      The creator Hwang Dong-hyuk creates an environment that is claustrophobic, ominous and jaw dropping                                                                                                                                                               Overall, this show will haunt you days after you have finished watching it                                                                                                                                                                   Remember, it is not an easy watch because of the abundance blood spill                                                                                                                                    But if you are a lover of the thriller/horror genre, this is a series you have been waiting for years                                                                                                                                               This is going to make amends for the poor choices Netflix has been making for sometime now                                                                                                                                                                                                            Be a player, watch Squid Game                                                                                                                                                                                                                            My Rating - 9                                                                                                                                                                                                                             ",1,500.0,6
111,111,"                                                          This is a simple formula that has been done to death ""poor people being made to do highly fatal games while rich people watch""   By now people should be over this kind of thing, but it makes them feel smart, and they can parrot phrases they heard from other people like ""its an study of human nature"" etc etc                                                                                                                        The positives for it are the aesthetic of the sets and costumes                                               This world and its environment just make you want to jump into the screen and explore, though not if it means being a part of the games                                                                                                                               I enjoyed it well enough but lets face it, this is no 8                                                                                                                                                             0+ IMDB ratings are a joke                                                                                                                                                         ",1,100.0,6
113,113,"                                                                                                                                                                                                                         Squid Game is another bullet in the chamber against streaming television                                                                                                What other, also terrible films (""would you rather"" immediately comes to mind) have managed to do in 2 hours, Squid Game takes 9 to draw the same conclusion: people suck when money is involved                                                                                                                                                                                     Hundreds of people down on their luck agree to take part in a series of games with an unannounced prize fee                                                                                                                                                                   After a few hundred are shot down in a game of ""red light, green light"" they get told every life is worth quite a lot of cash                                                                                                                                                             Gi-Hun, Sang,Wool and Sa-Beok are our eyes as they go through the tortures and trials of the whims of the rich, hounded by the poor                                                                                                                                                                                                                                                                             Nothing here is new                                                                                                                                                     The twists have all been done, the characters are all so broadly drawn that their motivations are unreasonable except in service of a story                                                                                                                                                     The conclusions, as to why theyre playing childrens games, and why its all happening, might offer some comfort, but its all nonsensical                                         Scenes that could have given understanding to why one manipulative shrew eventually sacrifices herself and another for the good of the survivors would have been favourable to repeat scenes of endless people in tracksuits walking up and down stairs                                    Giving us a true villain in the game with a counter POV for the final games would have set up a much better war of ideologies in an uncaring society than two sides of the same coin and an emotional bond that had been severed several episodes previously    Having an omniscient operator accuse a player of cheating and ruining the ""equality"" of the game is laughable, when you consider the same faceless man does everything in his power to handicap adept players, and ensure as many people as possible die in unfair circumstances as possible                                                                                                                                                        The Korean actors are all swell, but its so difficult to comprehend how they chose the foreigners who appear in the final few episodes                                                                                                                                                    They sound like theyre badly dubbed, and even though they wear masks, their performances are stiff as the gold encrusted animals they wear                                                                                                                                                                                                                                                                                 Skip over this                                                                                                                                                                         Netflix needs to stop financing every poorly thought out idea they land on, and begin considering quality over content                                                                                                                                                                                                                                                               ",0,64.81481481481481,6
114,114,"                                                                                                                                                                                                                                        *light spoilers of plot details*So, Squid Game is a story about a large group of deeply indebted Korean citizens who willingly take part in a deadly game in the hopes of taking away a massive cash prize, at the expense of the other participants lives                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Now, thats all well and good                                                                                                                                                                                                                                                                                                 Who doesnt love a good show of violence and human selfishness? However, this story paints the loves of the participants in a way that is often boring, uninteresting, and downright unbelievable    Honestly, none of the characters act like real people, and there are several GLARING plot holes and nonsensical plot points to boot; for example, 456 people go missing at the exact same time, staying missing for three days, 255 of them NEVER RETURNED, and absolutely nobody, anywhere, seems to notice what should be an international headline (except for one detective who decides to investigate it off the books, who conveniently informs noone of his investigation or wherabouts                                                                                                                  As well, I couldnt write about this show without discussing the insane premise that it relies upon: that all of our main characters decided to take part in a game that would kill all but one of them, and all participants are made aware of this fact, and despite that meaning that they and the people they met during the first game have virtually no chance of survival                                                                                                                                                                                                                                                                                                                                                                                                                                                  And yet, all of them act as if it isnt the case                                                                                                                                                                                                                                      Only 3% of the people who were unknowingly thrust into a lethal game and witnessed 225 people killed before their very eyes decided that their problems werent bad enough to warrant throwing their lives away in a game that only one person could survive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Bulls**t                                                                                                                                                                               Everyone with a family and loved ones, everybody who voted to end the games after the first session of bloody horror, all of them determined that they in fact had no reason to live or were going to die anyway, and that the only way normal life would be feasible is if they give the murder games another shot                                                                                                                                                                                                                                               Who cares about the odds, amiright? Furthermore, our beloved main characters, all stupid enough to enter this lethal lottery, continue to develop friendships between and during each murder game, forever in denial of the fact that they will die                                                                                                                                                                                                                                                                                                                                                                                 I dont understand how any of these people, excluding the actual psychopaths, can rationalize reentering the game                                                                                                                                                                                                Sure, maybe they didnt even consider the odds, maybe all of these degenerate gamblers are so stupid and so arrogant that they all believe they will be the sole victor; but, that hardly explains why a married couple entered the games, knowing for a fact that AT LEAST one of them would die                                                                                                                                                                                                                                                                                                                                                    There are too many impossibly irrational character choices in this show to list, and far too many for a critical viewer like myself to ignore                                                                                                                                                                                                                                                                                                                                                                                Without reasonable people or a remotely well thought-out story, its damn near impossible to suspend my disbelief                                                                                                                                                                                                                                                                                                                                                                                                          I watched it anyway, just to see how much further down the plot hole-hole they could go                                                                                                                                                                                                                                                                                                                                                               By the way, the last episode is damn near impossible to sit through and features two very different yet equally flacid plot twists                                                                                                                                                                                                                                                                        If you dont give a good god damn about attention to detail, and you like a mediocre, violent spectacle that comes to a grinding hault for frequent and irritating character drama, this might just be the series for you                                                                                                                                                                                                                                                                                                                                                                   Also, the production design was actually quite fascinating, so if thats something that interests you, watch an episode or two                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",0,73.65591397849462,6
128,128,"                            The show is essentially a show that begins with a realistic interpretation of the psychological aspect of a ""battle royale"" life or death game where people are desperate and motivated by the insurmountable debt they have accumulated                                                       It quickly throws this idea away half way through the show where the money doesnt matter, life is more important than money, and winning a life or death game with a ""good heart"" will show the true winner                                                                                          This is the Asian concept that I put in my title that I thought was too melancholy for my taste and ruined the realism of peoples actual reaction to this type of turmoil                                                                                                                                                  The first game in the first episode is a game of red light; green light, where if you are eliminated you are shot                                                                                                                                     Over 200 people die and they barely win a vote to get off the island because they did not expect the games to be this inhumane                                                                                                                                                                                                This is a respectable understanding and it made sense for the story                                                                                              But many of the people who voted to leave, found out that their debt back home was ruining their lives more than they remembered and choose to reenter into the games                                                                                                                                                                                                      This is where the show starts to get too stereotypical for me                                                    The games dont matter because plot armor is already established and they instead treat the games like they are ""forced"" to be there and must win by being the most compassionate and caring of all the players                                                                                                                                                                            This makes no sense and is contradicting when they chose to be there not once but twice                                                                                               All instances of life and death situation is thrown out the window and many pretend that everyone is of good nature and, ""we can win this with everyone still alive""                                                     Then they turn one character into a psychopath because he did what he had to do while actually playing the games and then ACTUALLY turn him into a psychopath purely to make a ""final boss"" enemy in the show  I wont spoil everything in the show if you choose to watch it but they also have a lot of "" saw that coming"" and ""give me a break"" plot twists in the show that I thought were reminiscent of the Asian cinema stereotype and it kind of ruined the show for me                                                                                                                                                                                                              But the show deserved at least a 5 or 6 at the least                                                                                                         But knowing Netflix, they will make a second season off of this because of its popularity when its not needed and ruin the entire story line even further                                                                                                                                                                                                                                  ",1,68.42105263157895,6
139,139,"                                                                                                     I really dont know what all the fuss is about   The acting is strong (as expected from Korean actors and actresses) but most people are talking about the plot, which to me, is nothing special                           Sure there are some plot twists but there are also way too many gaps for this to be called a ""classic"" or ""masterpiece""                                                                                                                    ",0,83.33333333333334,6
183,183,"                                                                                                                                        This show got a lot of buzz when it came out and after a lot of people pressuring me to tell them what I think about it, I did so                                                                                    It isnt very long and it manages to keep you wanting to see what comes next, so in case you are looking for something thrilling you can marathon in a single day its a good choice                                                                                                                                                                                                         Thats what I did and I had a lot of fun with how stupid it was                                                                                                                              Sure, its a death game type of show, which means you are watching it for the spectacle of people dying by the hundreds over petty reasons                                                                                                                                                                  This doesnt mean they dont need to have a decent plot you can follow without eyerolling all the time                                                       I dont expect a good reason for why the police dont get suspicious when hundreds of people disappear at once or the banks dont care when a poor mans account all of a sudden has a ridiculous amount of money                                                                                                                                                                                       It is the structure of the games that make you dumber the more you think about it   For starters what kind of a game doesnt let you know the rules and the penalties before beginning to play, so you will know what is at stake? Half of the players got killed in the first game alone because they panicked when they saw they kill you when you lose                                                                                                                                                                                                   This wouldnt have happened if they were told elimination means death                                                                                                                                                                                                                        It doesnt matter if we the audience knew it was                                                                                                                                                                                                                                           The characters in game didnt                                                                                                                  When you see people getting shot to death right next to you and you werent told why beforehand, running away to hide is a completely normal reaction                                                                                                                      Also you cant have the frontman saying the game is fair and everyone has the same chances of winning when there is clearly favorism and nepotism                                                                                                                                                                                              The second game is randomly easier for some players and harder for others                                                                                                                                                               The protagonist is given a lot of aid in the third and fourth games just because the organizer liked him                                                                                         Not to mention how they tell them at first the winners can share the money amongst them and midway they change it to only one can stay alive and get all the money for himself                                                                                                                                                                                                Without fair play it was impossible to care about any of the characters                                                                                                Whenever they show their personal lives it feels like vapid emotional manipulation, since you are never given any reason to assume they can win because they deserve it                                                                                                                                                                                                                                              They are killed at random                                                                         The best parts are when they can use some sort of strategy or to indirectly cheat the rules, but those moments are not many and dont matter in the longrun since the winner was predetermined                                                                                                                                                Not only that, the last episode desperately tries to offer social commentary and to be deep about humanity and kindness                                                                         It all falls flat on its face because its too late to do anything about it, it is told to the predetermined winner, and is told by a guy who was fooling around and then pretended to be dead                                                                                                                                                                    This show is often compared to Kaiji and although there are similarities it is nowhere near as good                                                                                                                      Over there the players were told what is at stake right away and there was a lot more strategy and deception instead of gory deaths based on luck                                                                                                                                                                                                                   Losing didnt mean death and you could retry to play                                                                                                                                         Squid Game is a dumb variant of death games and comes down to shocking deaths, hollow drama, and vapid criticism of capitalism                                                                                                                                                                                                                            As such its nothing special in the longrun                                                                                                                                                                                                                                        ",0,75.0,6
196,196,"                                                                                                               One of the well-made, and original shows   The highlights: its writing, creative direction, Large and beautiful set design, character developments, and an uncovering of the truth of Humanity        Though it is not for faint-hearted people as it is brutal and disturbing in many ways still A masterpiece that every movie premyy should watch                                                                                                                Highly Recommended! ??                                                                                                                                      ",1,57.89473684210527,6
